,Year,USA - Low,USA - Middle,USA - High,Germany - Low,Germany - Middle,Germany - High
0,2002,10.184658,5.686646,3.0199473,15.158256,8.8531972,4.398122
1,2003,9.8916101,6.061996,3.3698711,17.8527075,10.118325500000001,5.0959122
2,2004,10.472992,5.637989,3.259702,20.2494705,11.1060225,5.4748301
3,2005,9.0082312,5.1164112,2.6344383,20.123409000000002,11.0079265,5.53294085
4,2006,8.2548494,4.5643196,2.5434146,19.8228335,9.9047868,4.8066694000000005
5,2007,8.4709682,4.5158067,2.1145589,17.997855,8.2908534,3.8178272499999997
6,2008,10.056567,5.2951193,2.419764,16.502796,7.1991602,3.30533375
7,2009,15.778392,9.7865953,4.8845387,16.716178499999998,7.5073874,3.40263265
8,2010,16.820261,11.228783,5.3341351,15.798649999999999,6.9076986,3.04427635
9,2011,16.17053,10.190528,4.9047508,13.8524375,5.7547253000000005,2.4220703500000003
10,2012,14.279737,9.0939903,4.6178455,12.7596265,5.31726255,2.32661355
11,2013,12.693604,8.2066641,4.0719733,12.3856125,5.12133245,2.4135002500000002
12,2014,10.560335,7.2024288,3.7418945,12.0238835,4.6150198499999995,2.49004745
13,2015,9.2215843,6.0480661,2.7198491,11.3762475,4.2899562499999995,2.31328655
14,2016,8.0993929,5.6921043,2.6832011,10.002411,3.68020995,2.20415865
15,2017,8.2531586,4.8244696,2.5370116,9.183661099999998,3.28295485,1.99076255
16,2018,6.6416121,4.5728149,2.2782395,8.519441149999999,2.87589235,1.8848606499999998
